CLINICAL ANTIMICROBIAL RESISTANCE REPORT
=====================================

Sample: 569_A_038
Report Generated: 2025-07-07 23:29:26

SUMMARY
-------
Total reads processed: 3405007
Reads with AMR genes: 6859
Total AMR genes detected: 157
High confidence genes: 10
Drug classes affected: 2

RESISTANCE BY DRUG CLASS
------------------------

AMINOGLYCOSIDE:
  Genes detected: 118
  High confidence: 10
  Clinical interpretation: HIGH CONFIDENCE: Aminoglycoside resistance detected. Consider beta-lactams or fluoroquinolones based on susceptibility. Genes detected: aac(6')_Serra, aacA37, aac(6')-Id, ant(2'')-Ia, aacA-ENT2, aac(6')-It, ant(2'')-Ia, aacA-ACI4, aac(6')_E550, aac(6')-Ia

BETA_LACTAM:
  Genes detected: 39
  High confidence: 0
  Clinical interpretation: MODERATE CONFIDENCE: Possible resistance. Consider susceptibility testing. Genes detected: blaGIM-2, blaCTX-M-147, blaCTX-M-90, blaCTX-M-91, blaCTX-M-176

DETAILED GENE LIST
------------------
Gene                          Drug Class          Coverage(%) Depth     TPM       Confidence
--------------------------------------------------------------------------------------------
aac(6')-Ia                    AMINOGLYCOSIDE      26.9        15.2      213034.00 HIGH
aacA37                        AMINOGLYCOSIDE      37.3        4.1       57280.22  HIGH
aacA-ENT2                     AMINOGLYCOSIDE      27.3        3.3       46458.64  HIGH
aac(6')-Id                    AMINOGLYCOSIDE      33.3        2.8       39124.76  HIGH
aac(6')-It                    AMINOGLYCOSIDE      34.0        2.8       38684.55  HIGH
ant(2'')-Ia                   AMINOGLYCOSIDE      28.1        2.6       36039.14  HIGH
blaCTX-M-147                  BETA_LACTAM         17.1        2.5       34680.42  HIGH
aph(3')-Ia                    AMINOGLYCOSIDE      18.4        2.3       32904.92  HIGH
aac(6')_E550                  AMINOGLYCOSIDE      34.5        2.3       32456.39  HIGH
aacA-ACI4                     AMINOGLYCOSIDE      34.2        2.2       30315.39  HIGH
blaCTX-M-91                   BETA_LACTAM         17.1        2.1       28732.46  HIGH
blaGIM-2                      BETA_LACTAM         17.5        2.0       28570.98  HIGH
aac(6')_E553                  AMINOGLYCOSIDE      33.6        1.6       22466.76  MODERATE
aac(6')-Is                    AMINOGLYCOSIDE      34.0        1.6       22391.31  MODERATE
aac(6')-35                    AMINOGLYCOSIDE      27.8        1.4       19686.88  MODERATE
blaCTX-M-90                   BETA_LACTAM         17.1        1.2       16644.68  MODERATE
blaCTX-M-176                  BETA_LACTAM         17.1        1.0       14054.44  MODERATE
aph(2'')-IVa                  AMINOGLYCOSIDE      16.6        1.0       13960.10  LOW
aac(6')-Ib'                   AMINOGLYCOSIDE      11.9        0.9       12505.78  LOW
aac(6')_E111                  AMINOGLYCOSIDE      29.7        0.7       9466.45   LOW
aac(6')_Serra                 AMINOGLYCOSIDE      29.3        0.7       9337.65   LOW
aph(3'')-Ic                   AMINOGLYCOSIDE      19.6        0.5       7030.70   LOW
blaCTX-M-112                  BETA_LACTAM         17.1        0.5       6619.50   LOW
aacA47                        AMINOGLYCOSIDE      27.0        0.4       6132.57   LOW
blaCMY-85                     BETA_LACTAM         13.1        0.4       5389.93   LOW
aac(6')_Entco                 AMINOGLYCOSIDE      26.2        0.4       5128.05   LOW
blaGES-25                     BETA_LACTAM         17.4        0.3       4571.56   LOW
aac(6')-Iaf                   AMINOGLYCOSIDE      27.2        0.3       4415.08   LOW
blaCTX-M-161                  BETA_LACTAM         17.1        0.3       3837.39   LOW
aacA-STR-13                   AMINOGLYCOSIDE      29.8        0.2       2870.89   LOW
aacA-ACI5                     AMINOGLYCOSIDE      34.0        0.2       2667.90   LOW
